subject_id,gender,age,laterality,task,movement_time,n_points,sampling_rate,filename,rmse,mean_radius
119,F,25,45.0,drawing,5.069,272,53.7,subject_119_F_25_yrs_old_45_drawing.csv,0.3707,2.5048
119,F,25,45.0,tracing,15.126,817,54.0,subject_119_F_25_yrs_old_45_tracing.csv,0.308,5.1084
120,F,23,50.0,drawing,5.219,264,50.6,subject_120_F_23_yrs_old_50_drawing.csv,0.421,5.8216
120,F,23,50.0,tracing,35.88,1623,45.2,subject_120_F_23_yrs_old_50_tracing.csv,0.2629,5.1077
121,F,28,50.0,drawing,3.583,181,50.5,subject_121_F_28_yrs_old_50_drawing.csv,1.08,4.6016
121,F,28,50.0,tracing,6.282,337,53.6,subject_121_F_28_yrs_old_50_tracing.csv,0.2443,5.0519
122,F,23,50.0,drawing,20.549,1120,54.5,subject_122_F_23_yrs_old_50_drawing.csv,0.8638,4.3059
122,F,23,50.0,tracing,37.402,1718,45.9,subject_122_F_23_yrs_old_50_tracing.csv,0.4284,5.0586
123,F,22,50.0,drawing,3.684,211,57.3,subject_123_F_22_yrs_old_50_drawing.csv,0.5424,2.3951
123,F,22,50.0,tracing,13.182,767,58.2,subject_123_F_22_yrs_old_50_tracing.csv,0.4215,5.0586
124,F,23,65.0,drawing,6.281,365,58.1,subject_124_F_23_yrs_old_65_drawing.csv,0.4952,4.4931
124,F,23,65.0,tracing,13.93,801,57.5,subject_124_F_23_yrs_old_65_tracing.csv,0.2193,5.1046
125,M,31,50.0,drawing,2.542,125,49.2,subject_125_M_31_yrs_old_50_drawing.csv,1.0085,2.9284
125,M,31,50.0,tracing,18.743,1001,53.4,subject_125_M_31_yrs_old_50_tracing.csv,0.627,5.0163
