x,y,prog_time_trace_sec
14.551020408163266,4.020408163265306,0.0
14.53061224489796,4.020408163265306,0.018265617177998034
14.510204081632653,4.020408163265306,0.03653123435599607
14.489795918367347,4.020408163265306,0.054796851533994106
14.46938775510204,4.020408163265306,0.07306246871199214
14.448979591836734,4.020408163265306,0.09132808588999017
14.428571428571429,4.020408163265306,0.10959370306798821
14.428571428571429,4.040816326530612,0.12785932024598623
14.408163265306122,4.040816326530612,0.14612493742398427
14.387755102040817,4.040816326530612,0.16439055460198232
14.346938775510203,4.040816326530612,0.18265617177998034
14.326530612244898,4.061224489795919,0.20092178895797838
14.306122448979592,4.061224489795919,0.21918740613597643
14.285714285714286,4.061224489795919,0.23745302331397444
14.26530612244898,4.061224489795919,0.25571864049197246
14.26530612244898,4.081632653061225,0.27398425766997053
14.244897959183673,4.081632653061225,0.29224987484796855
14.224489795918368,4.081632653061225,0.31051549202596657
14.204081632653061,4.081632653061225,0.32878110920396464
14.204081632653061,4.1020408163265305,0.34704672638196266
14.183673469387756,4.1020408163265305,0.3653123435599607
14.16326530612245,4.1020408163265305,0.38357796073795875
14.142857142857142,4.1020408163265305,0.40184357791595676
14.122448979591837,4.122448979591836,0.4201091950939548
14.10204081632653,4.122448979591836,0.43837481227195285
14.081632653061224,4.122448979591836,0.45664042944995087
14.061224489795919,4.122448979591836,0.4749060466279489
14.040816326530612,4.122448979591836,0.4931716638059469
14.040816326530612,4.142857142857143,0.5114372809839449
14.020408163265307,4.142857142857143,0.529702898161943
14.0,4.142857142857143,0.5479685153399411
13.979591836734693,4.142857142857143,0.5662341325179391
13.979591836734693,4.163265306122449,0.5844997496959371
13.959183673469388,4.163265306122449,0.6027653668739351
13.938775510204081,4.163265306122449,0.6210309840519331
13.918367346938776,4.163265306122449,0.6392966012299311
13.89795918367347,4.163265306122449,0.6575622184079293
13.877551020408163,4.183673469387755,0.6758278355859273
13.857142857142858,4.183673469387755,0.6940934527639253
13.83673469387755,4.183673469387755,0.7123590699419233
13.816326530612244,4.183673469387755,0.7306246871199213
13.795918367346939,4.183673469387755,0.7488903042979194
13.795918367346939,4.204081632653061,0.7671559214759175
13.755102040816327,4.204081632653061,0.7854215386539155
13.73469387755102,4.204081632653061,0.8036871558319135
